,pdf 0,pdf 1,pdf 2,pdf 3
c,2,7,6,0
ca,0,5,0,0
calendar,0,0,1,0
called,0,0,1,0
campus,0,0,0,1
campussaurabh,0,0,0,2
candidates,0,0,1,0
cant,0,0,0,3
capable,1,0,0,0
captcha,0,0,0,9
career,0,1,0,3
cation,0,0,0,6
cbse,0,0,0,6
certification,1,0,0,0
certifications,1,0,0,0
cgpa,0,0,0,6
chair,0,0,1,0
challenging,1,0,0,0
chat,2,0,0,0
choice,0,0,0,3
circle,0,0,1,0
city,0,0,1,0
class,0,1,3,0
classi,0,0,0,15
classification,1,0,0,0
clerk,0,1,0,0
client,0,0,1,0
clips,0,0,0,3
club,0,1,0,0
clustering,0,0,0,3
codebase,0,0,1,0
coding,0,0,1,0
collaborated,0,1,0,0
college,3,0,3,0
color,0,0,0,3
com,4,1,2,0
combinations,0,0,0,3
commerce,2,0,0,0
committed,1,0,0,0
committee,0,0,2,0
communication,2,0,2,0
company,0,2,0,0
competitions,0,0,1,0
completed,1,0,0,0
complex,2,1,0,0
complexity,0,0,0,3
components,0,1,0,0
comprehensive,1,0,0,0
computer,0,8,5,18
computing,0,0,2,0
conceptualized,0,0,0,3
contact,1,0,0,0
contributed,1,0,0,0
corporation,0,1,0,0
course,0,0,0,9
courses,0,0,1,0
coursework,0,1,0,0
create,0,0,2,0
created,1,1,1,0
cs1070185,0,0,0,6
cse,1,0,0,9
css,1,0,0,0
custom,0,0,1,0
cyber,0,0,1,0
dart,1,0,0,0
data,8,1,0,6
database,1,0,0,0
date,1,0,0,0
debug,0,1,0,0
dec,0,1,0,0
decoder,0,0,1,0
degree,0,0,0,3
delegated,0,1,0,0
delhi,1,0,0,12
demonstration,0,1,0,0
design,0,0,1,0
designed,1,0,1,0
designing,1,2,0,0
detail,1,0,0,0
details,1,0,0,3
detect,0,0,0,3
detected,0,1,0,0
detection,1,0,0,3
develop,1,0,0,0
developed,2,0,0,0
developer,3,0,0,0
developing,0,2,0,0
development,4,2,0,3
di,0,0,0,6
differential,0,0,1,0
digital,0,0,0,6
discord,0,2,0,0
discovery,1,0,0,0
discrete,0,0,1,0
discussion,0,0,0,3
dithering,0,0,0,3
documentation,0,0,1,0
documents,1,0,0,0
dr,0,0,0,6
draw,0,0,1,0
drive,1,0,1,0
drivers,0,1,0,0
dropbox,0,0,1,0
du,1,0,0,0
duration,2,0,0,0
e,2,0,0,0
eccv,0,0,0,3
eclipse,0,0,1,0
edge,0,0,0,6
education,1,1,2,0
effectively,1,0,0,0
efficiency,1,0,1,0
efficient,1,0,0,0
electronically,0,0,1,0
emacs,0,0,1,0
email,0,0,1,0
enabling,1,0,0,0
encoder,0,0,1,0
engineering,0,0,0,9
engineers,1,1,0,0
enhance,3,0,0,0
enhancement,0,0,0,3
ensign,0,0,2,0
ensure,0,1,0,0
ensuring,1,0,0,0
environments,0,0,2,0
equations,0,0,1,0
equipped,1,0,0,0
er,0,0,0,3
erent,0,0,0,3
erential,0,0,0,3
ernet,0,0,0,6
errors,0,1,0,0
ers,0,0,0,6
ethics,0,0,1,0
evaluated,0,1,0,0
evaluates,0,0,1,0
even,0,0,0,3
everyone,0,1,0,0
example,0,0,1,0
exceptional,1,0,0,0
exciting,1,0,0,0
expanding,1,0,0,0
experience,2,2,2,0
expertise,0,0,1,0
explored,0,0,1,0
extended,0,0,0,3
extensive,0,1,0,0
faculty,0,0,1,0
fall,0,1,0,0
feature,0,0,0,3
features,0,0,0,3
feb,1,0,0,0
ffmpeg,0,0,2,0
field,1,0,0,0
figures,0,1,0,0
filtering,1,0,0,0
firebase,1,0,0,0
flutter,6,0,0,0
food,2,0,0,0
for,6,5,2,18
forums,0,0,0,3
foundation,2,0,0,0
framework,1,0,0,0
frameworks,0,0,0,3
fremont,0,1,0,0
freshmen,0,0,1,0
friendly,1,0,0,0
from,3,0,0,6
fully,0,1,0,0
functioning,0,1,0,0
gained,1,1,1,0
game,0,4,1,0
gathering,1,0,0,0
generate,1,0,0,0
generated,1,1,0,0
github,1,0,0,0
give,0,0,0,6
globus,0,1,0,0
gmail,1,1,0,0
gobind,1,0,0,0
google,0,1,3,0
gpa,0,1,1,0
graduate,0,0,0,3
graduation,0,0,1,0
graphics,0,2,1,0
group,2,0,0,3
gupta,0,0,0,3
guru,1,0,0,0
hands,1,0,0,0
hangman,0,1,0,0
hanoi,0,0,1,0
hansraj,2,0,0,0
hardware,0,2,0,0
harman,2,0,0,0
harmanjaggi,2,0,0,0
harmanjaggs,1,0,0,0
hatchhack,1,0,0,0
having,2,0,0,0
help,0,0,1,0
hence,0,0,0,3
higher,0,0,0,3
host,0,0,1,0
house,0,0,1,0
housing,0,0,1,0
how,0,0,2,0
html,2,1,1,0
http,0,0,0,3
https,1,0,0,0
i,0,0,1,9
icml,0,0,0,3
idea,0,0,0,3
ideas,0,1,0,0
identification,2,0,0,0
ii,0,0,1,0
iit,3,0,0,0
iitd,0,0,0,9
im,0,1,0,0
image,1,0,1,9
images,0,0,2,3
imaspartan,0,2,0,0
implemented,1,0,1,3
improving,0,0,0,3
in,12,10,6,48
inc,0,1,0,0
incorporating,0,0,0,3
increase,0,0,0,3
increased,0,1,0,0
independent,0,0,0,3
independently,0,1,0,0
indesign,0,0,1,0
india,0,0,0,6
indian,0,0,0,6
indraprastha,1,0,0,0
industry,0,0,1,0
infor,0,0,0,3
information,0,0,0,3
innovative,1,0,0,0
insights,1,0,0,0
install,0,1,0,0
institute,0,0,0,15
instructions,1,0,0,0
integrated,1,0,0,0
integrity,1,0,0,0
intelligence,0,0,1,0
interactive,1,0,0,0
interest,0,0,0,3
interested,0,0,0,3
interface,1,1,0,0
intern,1,0,0,0
internship,2,1,0,3
interview,0,0,1,0
into,0,0,1,3
introduction,1,0,0,0
intuitive,1,0,0,0
inventory,0,3,0,0
investigated,0,0,0,3
involved,0,0,0,6
ios,0,0,1,0
issues,1,0,0,0
it,0,0,0,6
iworks,0,0,1,0
jaggi,2,0,0,0
jain,0,0,0,3
jan,0,1,0,0
january,0,0,0,3
java,0,3,1,0
javascript,2,0,1,0
jose,0,4,0,0
jun,0,1,0,0
kalra,0,0,0,6
kernel,0,0,0,3
kernels,0,0,0,3
kids,0,1,0,0
knn,0,0,0,3
knowledge,4,1,0,3
kulachi,2,0,0,0
labelled,0,0,0,3
labels,0,0,0,3
lake,0,0,1,0
languages,0,0,1,0
large,0,0,1,0
las,0,0,1,0
latest,1,0,0,0
lazyengineer,1,0,0,0
lead,0,1,0,3
leader,0,0,1,0
leading,0,0,0,3
learn,0,0,0,6
learned,0,0,1,0
learning,12,0,0,6
learnt,0,0,0,3
leetcode,1,0,0,0
letter,0,0,0,3
leverage,1,0,0,0
leveraged,1,0,0,0
libraries,0,0,1,0
like,0,0,1,0
linear,0,0,0,9
linked,0,0,2,0
linkedin,1,1,1,0
linking,0,0,0,3
linux,0,0,1,0
look,0,0,0,3
looking,0,0,0,3
ltd,1,0,0,0
machine,9,0,0,3
machinery,0,0,1,0
machines,0,0,0,3
made,0,0,0,3
madras,3,0,0,0
mail,0,0,0,3
major,0,0,0,3
makes,0,0,1,0
managed,0,1,0,0
management,1,0,0,3
manik,0,0,0,3
manipulation,1,0,1,0
manner,1,0,0,6
materials,0,1,0,0
mathematics,0,0,1,3
mation,0,0,0,3
matrices,0,1,0,0
may,1,1,1,6
me,1,0,0,0
measured,0,0,1,0
meet,0,0,1,0
meetings,0,1,0,0
meets,0,1,0,0
members,0,1,0,0
memory,0,0,1,0
methods,0,0,1,0
microsoft,0,0,1,0
milpitas,0,1,0,0
mkl,0,0,0,6
mobile,3,0,0,0
model,2,0,0,3
modeling,1,0,0,0
month,1,0,0,0
monthly,0,1,0,0
months,2,1,0,0
motivated,1,0,0,0
mozilla,0,0,1,0
msr,0,0,0,6
much,0,0,0,3
multi,0,1,0,3
multiple,0,0,1,0
mysql,1,0,1,0
name,0,0,3,0
network,0,4,0,0
networked,0,0,1,0
networks,0,1,0,0
new,0,1,0,9
nips,0,0,0,3
nodes,0,0,1,0
non,0,0,0,9
novel,0,0,0,3
november,0,0,0,3
nptel,3,0,0,0
number,0,0,1,0
nv,0,0,1,0
o,3,0,0,0
object,0,1,0,6
objective,0,1,0,6
obtain,0,0,0,3
occupied,1,0,0,0
october,0,0,0,6
of,10,2,10,18
offer,1,0,0,0
office,0,0,2,0
on,2,5,1,3
one,0,0,0,3
ones,0,0,0,3
online,1,0,0,0
open,0,0,2,0
operational,1,0,0,0
optimization,1,0,0,0
options,1,0,0,0
or,0,0,1,3
oriented,1,1,0,0
osx,0,0,1,0
other,0,0,0,3
ously,0,0,0,3
over,0,0,1,0
painterly,0,0,0,3
parking,2,0,0,0
participate,0,0,1,0
people,0,0,1,0
percentage,0,0,0,3
performance,1,0,0,6
perl,0,1,0,0
person,0,0,0,3
personal,1,0,0,0
photo,0,0,0,6
photoshop,0,0,1,0
pixel,0,0,1,0
player,0,1,0,0
plsa,0,0,0,3
poor,0,0,1,0
position,1,0,0,0
possibility,0,0,0,3
practical,1,0,0,0
practice,0,0,1,3
prateek,0,0,0,3
pre,0,1,0,0
predict,0,0,0,3
prem,0,0,0,6
preparation,1,0,0,0
present,0,3,2,6
presented,0,1,0,0
president,0,1,0,0
previ,0,0,0,3
printer,0,1,0,0
probability,0,0,1,0
problem,2,0,1,0
problems,1,1,1,0
processing,1,0,0,0
produced,0,1,0,0
products,1,1,0,0
prof,0,0,0,15
professional,1,0,0,0
proficient,1,0,0,0
profile,1,0,0,0
program,0,1,3,0
programmers,0,0,1,0
programming,0,3,2,0
project,2,1,3,18
projects,1,0,1,6
protocol,0,0,1,0
provided,0,1,0,0
public,0,0,0,6
pursue,0,0,0,3
pursuing,3,0,0,0
purview,1,0,0,0
pvt,1,0,0,0
python,2,0,1,0
qa,0,1,0,0
quantization,0,0,0,3
quickly,0,0,1,0
range,2,0,0,0
rank,0,0,0,3
rating,0,1,0,0
read,0,0,0,3
reader,0,0,0,6
real,2,0,0,0
realistic,0,0,0,6
receiving,0,1,0,0
recipe,1,0,0,0
recipes,1,0,0,0
recognition,0,0,0,6
recommenders,1,0,0,0
reduced,0,1,0,0
regression,1,0,0,0
regularizers,0,0,0,3
reinforcement,1,0,0,0
related,1,2,0,0
relevant,0,0,3,0
reliable,0,1,0,0
remote,0,2,0,0
rendering,0,0,0,3
repair,0,1,0,0
reports,0,2,0,0
requirement,1,0,0,0
research,0,0,1,6
resident,0,0,1,0
residential,0,0,1,0
resolution,1,0,0,0
responsibilities,0,1,0,0
resume,0,1,1,0
rohini,0,0,0,6
role,0,1,0,0
s,0,3,1,3
sales,1,0,0,0
salt,0,0,1,0
sample,0,1,0,0
san,0,4,0,0
satisfaction,0,1,0,0
saurabh,0,0,0,1
saved,0,0,1,0
school,2,0,1,6
science,4,3,4,12
script,0,1,0,0
search,0,0,2,0
seeing,0,0,0,3
seeking,0,1,0,0
segmentation,0,0,0,6
semi,0,0,0,3
senior,0,0,0,3
sep,2,2,0,0
september,0,0,0,3
server,0,0,3,0
services,0,0,0,3
shipping,0,1,0,0
showcase,1,0,0,0
shraddhanand,1,0,0,0
signi,0,0,0,3
similar,0,0,0,3
simple,0,0,0,3
singh,2,0,0,0
sjsu,0,3,0,0
skilled,1,0,0,0
skills,5,2,1,0
slack,0,1,0,0
slc,0,0,3,0
slot,1,0,0,0
smoothing,0,0,0,3
sociate,0,0,1,0
soft,1,0,0,0
software,6,3,2,0
solutions,2,1,0,0
solve,1,0,1,0
solving,2,0,2,0
source,0,0,1,0
spaces,1,0,0,0
spartan,0,1,0,0
spreadsheet,0,0,2,0
spring,0,1,0,0
sql,0,1,0,0
stanford,1,0,0,0
state,0,1,0,0
stats,0,0,1,0
stay,1,0,0,0
stayed,0,1,0,0
stock,0,1,0,0
stockroom,0,1,0,0
stored,0,0,1,0
strong,3,0,0,0
structural,0,0,0,6
structure,1,0,1,0
structures,1,1,0,0
student,0,0,2,6
students,1,0,0,0
studies,0,0,0,3
studio,1,0,2,0
stuff,1,0,0,0
subhashis,0,0,0,9
sublime,0,0,1,0
submitting,0,0,0,3
successfully,1,1,0,0
such,0,0,0,3
summary,1,0,0,0
summer,0,0,0,3
supervised,1,0,0,3
support,0,1,0,3
sura,0,0,0,3
surveillance,0,0,0,3
svm,0,0,0,3
svms,0,0,0,3
swami,1,0,0,0
swift,0,0,1,0
system,2,1,0,0
systematic,1,0,0,0
systems,0,1,1,0
take,0,0,0,3
talk,0,0,1,0
targeting,1,0,0,0
task,0,1,0,0
tasks,0,1,0,3
teach,0,0,1,0
team,0,3,3,0
teamwork,1,0,0,0
tech,2,0,0,6
technical,1,2,1,0
technique,0,0,0,3
techniques,0,0,0,3
technology,0,0,0,6
terminal,0,0,1,0
test,0,1,1,3
tested,0,1,0,0
tester,0,1,0,0
textwrangler,0,0,1,0
that,0,0,2,0
the,4,1,4,21
thickening,0,0,0,3
this,0,0,0,6
through,1,0,0,0
thunderbird,0,0,1,0
time,2,0,1,0
to,11,5,9,39
towards,0,0,0,3
towers,0,0,1,0
training,0,0,0,6
trainings,1,0,0,0
traversed,0,0,1,0
tree,0,0,1,0
tutor,0,1,0,0
undergraduate,0,0,1,3
understanding,1,0,0,0
unity,0,0,1,0
university,2,1,2,0
unix,0,1,1,0
unseen,0,0,0,3
unsupervised,1,0,0,6
unusual,0,0,0,9
updated,1,1,0,0
us,0,0,0,3
usage,0,0,1,0
use,0,0,0,6
used,0,0,0,3
user,2,1,0,0
users,1,0,0,0
using,2,2,0,6
ut,0,0,1,0
utah,0,0,2,0
utilized,1,0,0,0
utilizing,1,0,0,0
vacant,1,0,0,0
valuable,1,1,0,0
various,0,0,0,3
varma,0,0,0,3
vector,0,0,0,3
vectors,0,0,0,3
vegas,0,0,1,0
via,0,1,0,0
video,0,0,0,6
videos,0,0,1,6
vihar,1,0,0,0
vision,0,0,0,6
visual,0,1,1,0
volunteer,0,1,0,0
volunteered,0,1,0,0
was,0,0,0,3
we,0,0,0,9
web,0,1,0,6
website,1,0,0,0
weekly,0,2,0,0
which,0,0,0,3
wide,2,0,0,0
windows,0,0,1,0
with,4,1,7,9
within,0,1,0,0
work,0,1,1,0
worked,0,0,2,0
working,0,0,2,3
wrote,0,2,0,0
www,0,0,1,3
x,0,0,0,3
xamarin,0,0,1,0
xcode,0,0,1,0
xii,0,0,0,3
year,0,0,0,6
zareh,0,1,0,0
zoom,0,2,0,0
zylu,1,0,0,0
